Compound,Negative,Neutral,Positive
-0.6369,0.112,0.856,0.032
-0.9022,0.18,0.779,0.041
-0.9552,0.214,0.738,0.048
-0.969,0.24,0.688,0.072
-0.5945,0.134,0.785,0.081
-0.9924,0.348,0.598,0.054
-0.8979,0.15,0.787,0.064
-0.8316,0.121,0.842,0.037
-0.8176,0.147,0.784,0.069
-0.9081,0.22,0.653,0.127
0.1531,0.09,0.814,0.096
-0.8338,0.2,0.688,0.112
0.9325,0.027,0.822,0.151
0.7311,0.104,0.762,0.134
0.9325,0.027,0.822,0.151
-0.7506,0.188,0.7,0.112
-0.5719,0.102,0.813,0.085
-0.9231,0.158,0.735,0.107
-0.5719,0.102,0.813,0.085
-0.4767,0.119,0.844,0.037
-0.4767,0.119,0.844,0.037
-0.4767,0.119,0.844,0.037
-0.5574,0.151,0.727,0.121
0.1724,0.062,0.861,0.078
-0.8442,0.124,0.834,0.042
-0.7845,0.129,0.815,0.056
-0.9652,0.258,0.719,0.022
-0.9698,0.257,0.677,0.066
-0.9776,0.286,0.714,0.0
-0.9441,0.199,0.729,0.072
-0.9144,0.204,0.649,0.148
-0.4939,0.155,0.722,0.124
0.9022,0.074,0.735,0.19
-0.9643,0.228,0.758,0.014
-0.9423,0.236,0.654,0.109
-0.7845,0.149,0.803,0.048
-0.5859,0.149,0.739,0.112
-0.9274,0.136,0.826,0.038
-0.9545,0.243,0.656,0.101
-0.9432,0.177,0.792,0.031
-0.4871,0.097,0.827,0.076
-0.9451,0.21,0.744,0.045
-0.9246,0.18,0.723,0.097
-0.9109,0.23,0.687,0.082
-0.9723,0.34,0.564,0.096
-0.9704,0.234,0.685,0.081
-0.5994,0.166,0.691,0.144
-0.1779,0.12,0.749,0.131
-0.9571,0.264,0.654,0.083
-0.8519,0.118,0.858,0.023
-0.6908,0.129,0.798,0.073
-0.6908,0.13,0.81,0.06
-0.7845,0.17,0.752,0.078
-0.9382,0.216,0.669,0.115
-0.9337,0.168,0.832,0.0
-0.9773,0.242,0.664,0.094
-0.936,0.181,0.819,0.0
-0.9796,0.29,0.685,0.025
-0.9437,0.173,0.776,0.051
-0.8481,0.134,0.866,0.0
0.0,0.053,0.884,0.064
-0.8481,0.09,0.876,0.034
-0.9796,0.262,0.65,0.088
0.3612,0.099,0.778,0.123
-0.872,0.156,0.747,0.096
-0.872,0.135,0.766,0.098
-0.25,0.111,0.77,0.12
-0.9783,0.338,0.601,0.06
-0.9349,0.176,0.824,0.0
0.3818,0.112,0.771,0.117
-0.7184,0.24,0.76,0.0
-0.3063,0.109,0.783,0.107
-0.9811,0.238,0.656,0.106
0.3818,0.0,0.698,0.302
-0.9811,0.231,0.666,0.103
0.0,0.066,0.867,0.066
0.0,0.066,0.867,0.066
-0.9811,0.25,0.688,0.062
-0.802,0.161,0.707,0.132
-0.9623,0.181,0.7,0.119
-0.8834,0.146,0.799,0.055
0.296,0.092,0.783,0.124
0.6281,0.128,0.701,0.171
-0.9873,0.298,0.652,0.05
0.5423,0.057,0.836,0.107
-0.967,0.246,0.74,0.014
-0.8779,0.154,0.786,0.06
-0.7845,0.121,0.86,0.019
-0.9186,0.22,0.78,0.0
-0.5719,0.062,0.922,0.016
0.2001,0.135,0.72,0.145
-0.7906,0.094,0.88,0.027
-0.9169,0.665,0.335,0.0
-0.8689,0.135,0.82,0.046
-0.9889,0.295,0.643,0.062
-0.8979,0.199,0.758,0.043
-0.9153,0.188,0.744,0.067
-0.9231,0.195,0.734,0.071
-0.875,0.188,0.707,0.105
-0.9871,0.243,0.719,0.038
-0.9423,0.409,0.591,0.0
-0.967,0.236,0.678,0.087
-0.9902,0.242,0.74,0.018
-0.9423,0.24,0.719,0.041
-0.2584,0.225,0.775,0.0
-0.9403,0.25,0.644,0.106
0.05,0.117,0.739,0.144
-0.936,0.14,0.845,0.015
-0.7717,0.163,0.762,0.075
-0.6369,0.142,0.817,0.041
-0.7906,0.218,0.732,0.05
0.7003,0.0,0.721,0.279
-0.9393,0.32,0.68,0.0
-0.6908,0.158,0.842,0.0
-0.9091,0.271,0.642,0.087
-0.8625,0.199,0.779,0.023
0.5719,0.059,0.763,0.178
0.5574,0.042,0.83,0.127
-0.9485,0.409,0.591,0.0
0.4767,0.118,0.633,0.249
0.6908,0.066,0.787,0.147
0.25,0.033,0.911,0.056
0.0258,0.101,0.793,0.106
0.3612,0.151,0.668,0.181
-0.743,0.148,0.852,0.0
-0.4019,0.135,0.766,0.099
-0.3612,0.173,0.669,0.159
-0.6808,0.162,0.786,0.052
0.0772,0.111,0.771,0.118
-0.9337,0.301,0.699,0.0
-0.765,0.167,0.833,0.0
-0.9042,0.32,0.68,0.0
-0.4019,0.085,0.915,0.0
-0.7906,0.251,0.647,0.102
-0.8225,0.272,0.728,0.0
-0.7351,0.193,0.738,0.069
-0.6369,0.172,0.828,0.0
0.1779,0.047,0.872,0.081
0.4215,0.069,0.792,0.139
0.1531,0.045,0.897,0.058
-0.9432,0.403,0.541,0.056
-0.9524,0.449,0.551,0.0
-0.9371,0.321,0.635,0.044
-0.5994,0.159,0.841,0.0
-0.5719,0.162,0.769,0.069
-0.7096,0.144,0.856,0.0
-0.5719,0.153,0.847,0.0
0.128,0.207,0.599,0.195
-0.7845,0.239,0.761,0.0
-0.4497,0.14,0.781,0.079
-0.8179,0.237,0.71,0.054
-0.7845,0.175,0.789,0.035
-0.8225,0.35,0.605,0.045
-0.5994,0.109,0.891,0.0
-0.5574,0.238,0.663,0.099
-0.3818,0.143,0.789,0.067
0.1531,0.051,0.882,0.066
-0.4019,0.15,0.85,0.0
-0.9393,0.311,0.656,0.033
0.5423,0.055,0.764,0.182
0.0,0.0,1.0,0.0
-0.743,0.3,0.7,0.0
0.3182,0.074,0.808,0.118
-0.5106,0.148,0.852,0.0
-0.7579,0.333,0.667,0.0
-0.836,0.194,0.806,0.0
0.0,0.0,1.0,0.0
-0.5423,0.144,0.802,0.054
0.0516,0.119,0.758,0.123
-0.8479,0.236,0.684,0.08
0.4939,0.0,0.882,0.118
-0.8658,0.275,0.665,0.06
-0.2732,0.109,0.804,0.087
0.6808,0.0,0.728,0.272
-0.0772,0.058,0.89,0.052
-0.7579,0.236,0.764,0.0
-0.5994,0.163,0.837,0.0
-0.8402,0.197,0.758,0.045
-0.7184,0.176,0.824,0.0
-0.1027,0.167,0.588,0.245
-0.872,0.271,0.642,0.087
-0.5859,0.127,0.828,0.044
-0.6908,0.189,0.69,0.122
-0.3182,0.073,0.927,0.0
-0.7506,0.239,0.642,0.119
-0.9287,0.245,0.72,0.035
-0.3612,0.08,0.879,0.041
0.4404,0.06,0.803,0.137
-0.1779,0.088,0.846,0.066
